url,pick,team,year,pos,player,college,missing_combine_vals,height_inches,weight,forty,vertical,bench,broad,threecone,shuttle,defense.ast.tackles,defense.fum.forced,defense.fum.rec,defense.fum.tds,defense.fum.yds,defense.games,defense.int,defense.int.td,defense.int.yards,defense.loss.tackles,defense.pd,defense.sacks,defense.seasons,defense.solo.tackes,defense.tackles,passing.attempts,passing.comp.pct,passing.completions,passing.games,passing.pass.ints,passing.pass.tds,passing.pass.yards,passing.seasons,receiving.games,receiving.rec.td,receiving.rec.yards,receiving.receptions,receiving.rush.att,receiving.rush.td,receiving.rush.yds,receiving.scrim.plays,receiving.scrim.tds,receiving.scrim.yds,receiving.seasons,rushing.games,rushing.rec.td,rushing.rec.yards,rushing.receptions,rushing.rush.att,rushing.rush.td,rushing.rush.yds,rushing.scrim.plays,rushing.scrim.tds,rushing.scrim.yds,rushing.seasons,num_murders,purple.drank.incidents,college_year,Rk,School,Conf,wins,losses,win_pct,ConfW,ConfL,ConfPct,ppg_off,ppg_def,srs,sos,ap_pre,ap_high,ap_rank,Notes,ap_rank_score,pick_score,conf,conf_ACC,conf_Big 12,conf_Big Ten,conf_CUSA,conf_Ind,conf_MAC,conf_MWC,conf_Other,conf_Pac-10,conf_SEC,conf_Sun Belt,conf_WAC,power5
https://www.sports-reference.com/cfb/players/kelley-washington-1.html,65.0,CIN,2003,WR,Kelley Washington,Tennessee,5,74,223,4.42,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,6,1453,87,1,0,10,88,6,1463,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,91.0,Tennessee,SEC (East),8.0,5.0,0.615,5.0,3.0,0.625,22.8,17.5,7.41,2.94,5.0,4.0,,,0.4977729726019537,0.7810338115227088,SEC,0,0,0,0,0,0,0,0,0,1,0,0,1
https://www.sports-reference.com/cfb/players/kelly-campbell-1.html,288.5,,2002,WR,Kelly Campbell,Georgia Tech,5,70,171,4.48,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,41,24,2907,195,13,3,152,208,27,3059,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,4.0,Georgia Tech,ACC,8.0,5.0,0.615,4.0,4.0,0.5,31.2,21.6,7.1,1.95,10.0,9.0,24.0,,0.8295740369818276,-1.5839392375511274,ACC,1,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/kelly-jennings-1.html,31.0,SEA,2006,CB,Kelly Jennings,Miami (FL),2,71,178,4.39,40.0,,120.0,,4.0,8,0,0,0,0,48,6,0,37,3.0,0,1.0,4,24,32,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,8.0,Miami (FL),ACC (Coastal),9.0,3.0,0.75,6.0,2.0,0.75,27.1,14.3,15.09,4.5,9.0,3.0,17.0,,1.0728613416500028,1.3252910785094307,ACC,1,0,0,0,0,0,0,0,0,0,0,0,1
https://www.sports-reference.com/cfb/players/kelvin-benjamin-1.html,28.0,CAR,2014,WR,Kelvin Benjamin,Florida State,0,77,240,4.61,32.5,13.0,119.0,7.33,4.39,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,28,19,1506,84,2,0,33,86,19,1539,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1.0,Florida State,ACC (Atlantic),14.0,0.0,1.0,8.0,0.0,1.0,51.6,12.1,23.36,1.29,11.0,1.0,1.0,,2.411822295883333,1.3878204028136232,ACC,1,0,0,0,0,0,0,0,0,0,0,0,1
https://www.sports-reference.com/cfb/players/kelvin-hayden-1.html,60.0,IND,2005,CB,Kelvin Hayden,Illinois,0,70,197,4.45,34.0,17.0,111.0,6.87,3.9,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,21,3,610,54,6,0,54,60,3,664,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,40.0,Illinois,Big Ten,3.0,8.0,0.273,1.0,7.0,0.125,21.8,29.4,-4.53,1.83,,,,,-0.43831628174460113,0.848715527422145,Big Ten,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/kelvin-kight-1.html,284.5,,2004,WR,Kelvin Kight,Florida,1,72,213,4.56,34.0,,109.0,7.18,4.24,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,48,6,1282,90,3,0,17,93,6,1299,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,90.0,Florida,SEC (East),8.0,5.0,0.615,6.0,2.0,0.75,30.0,20.8,10.67,6.75,,11.0,24.0,,0.8295740369818276,-1.5341205443525463,SEC,0,0,0,0,0,0,0,0,0,1,0,0,1
https://www.sports-reference.com/cfb/players/kelvin-sheppard-1.html,68.0,BUF,2011,ILB,Kelvin Sheppard,LSU,1,74,250,4.7,33.5,22.0,110.0,,4.28,175,0,0,0,0,53,2,0,1,26.0,0,5.5,4,136,311,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,98.0,LSU,SEC (West),11.0,2.0,0.846,6.0,2.0,0.75,29.7,18.2,15.13,4.67,21.0,5.0,8.0,,1.5053605530744096,0.8622109800708027,SEC,0,0,0,0,0,0,0,0,0,1,0,0,1
https://www.sports-reference.com/cfb/players/kelvin-smith-1.html,219.0,MIA,2007,ILB,Kelvin Smith,Syracuse,0,74,240,4.8,32.0,26.0,110.0,7.19,4.42,92,0,0,0,0,47,5,1,41,11.5,0,4.5,4,107,199,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,32.0,Syracuse,Big East,4.0,8.0,0.33299999999999996,1.0,6.0,0.14300000000000002,17.4,24.6,-2.08,4.34,,,,record adjusted to 0-8-0 by NCAA,-0.4079187409450348,-0.41691967738492797,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
https://www.sports-reference.com/cfb/players/kelvin-taylor-1.html,211.0,SFO,2016,RB,Kelvin Taylor,Florida,2,70,207,4.6,32.0,15.0,113.0,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,179,24,486,23,2108,510,23,2287,3,0,0,2015,104.0,Florida,SEC (East),10.0,4.0,0.7140000000000001,7.0,1.0,0.875,23.2,18.3,9.65,4.94,,8.0,25.0,,0.86398360100753,-0.28347649901337924,SEC,0,0,0,0,0,0,0,0,0,1,0,0,1
https://www.sports-reference.com/cfb/players/kemoko-turay-1.html,,,2018,EDGE,Kemoko Turay,Rutgers,5,77,253,4.65,,,,,,38,0,2,1,26,34,1,0,0,19.0,4,14.5,4,58,96,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,41.0,Rutgers,Big Ten (East),4.0,8.0,0.33299999999999996,3.0,6.0,0.33299999999999996,18.0,28.3,-2.27,6.15,,,,,-0.4237396089733445,,Big Ten,0,0,1,0,0,0,0,0,0,0,0,0,1
