year,pos,player,college,team,pick,pick_score,height_inches,weight,forty,vertical,bench,broad,threecone,shuttle,win_pct,wins,losses,ppg_off,ppg_def,srs,sos,ap_rank_score,conf_ACC,conf_Big 12,conf_Big Ten,conf_CUSA,conf_Ind,conf_MAC,conf_MWC,conf_Other,conf_Pac-10,conf_SEC,conf_Sun Belt,conf_WAC
2000,OT,Stockar McDougle,Oklahoma,DET,20.0,1.4441425372991519,0.230632802007218,3.8975558222174262,1.4851060768801672,0.0,-0.3508626112508443,0.0,-3.5992474957229515e-15,0.0,-0.18727441973614395,-0.38849876098584896,0.08139451211227547,0.7659959969023111,-0.7553438321462672,0.3448653559037932,-0.5198726188556729,0.5244005127080407,0,1,0,0,0,0,0,0,0,0,0,0
2001,OG,Paul Zukauskas,Boston College,CLE,203.0,-0.4840105548966372,0.230632802007218,-0.4072938586995538,0.37743986569294946,0.0,-0.7831754715420631,0.0,-3.5992474957229515e-15,0.0,-0.18727441973614395,-0.38849876098584896,0.08139451211227547,0.11751205973310119,-0.11739604855530818,-0.12415361982569052,-0.2129086589234373,-0.4662652613706357,0,0,0,0,0,0,0,1,0,0,0,0
2001,OG,Shawn Draper,Alabama,MIA,156.0,-0.06779861544123571,-1.1531640100361096,-0.7261716128415524,0.37743986569294946,1.5990834830883465,-1.8639576222701102,0.6797351524950689,1.3203491696761156,0.24382759510762397,-1.8069321220356804,-1.8445342319586013,1.4121947851479744,-1.5112382940872413,-0.22903691068372645,-0.7666119042884728,0.6795606319906555,0.5516377296457827,0,0,0,0,0,0,0,0,0,1,0,0
2001,OG,Tom Ashworth,Colorado,,270.0,0.19192132293091926,0.9225312080288819,-1.5233659981965486,-0.6748430349349035,2.1454485040572724,-1.2154883318332819,1.1802496271990124,-1.5163255244204945,-2.612577432324727,-1.8069321220356804,-1.8445342319586013,1.4121947851479744,-1.1794558146053198,0.31321870536858903,-0.4588182014659991,1.5492918517986567,0.5516377296457827,0,1,0,0,0,0,0,0,0,0,0,0
2001,OT,Matt Light,Purdue,NWE,48.0,0.9856104168672697,0.230632802007218,-0.08841610455755529,0.32205655513358983,0.0,0.08145024904037454,0.0,0.2667271404402316,-1.4578605063414334,0.2516005705643761,-0.02448989324266088,-0.3622055788996242,0.1627551251169997,-0.26093429986327427,0.2373818406324531,0.13100466655619722,1.2206403488473496,0,0,1,0,0,0,0,0,0,0,0,0
2003,C,Wayne Lucier,Colorado,NYG,249.0,-0.965192983768983,-0.46126560401444583,-0.8856104899125516,0.2666732445742302,0.0,0.0,0.0,-3.5992474957229515e-15,0.0,0.12620771619279894,0.3395189745005272,0.08139451211227547,-0.3499996159005158,-0.10144735396553453,0.5439541398722978,1.1627446429951005,0.9561765389200622,0,1,0,0,0,0,0,0,0,0,0,0
2003,OT,Jordan Black,Notre Dame,KAN,153.0,-0.029346014076975378,0.9225312080288819,0.15074221104894361,-0.28715986101938107,0.8705967884631118,0.0,0.6797351524950689,-0.5032274193859899,-1.3970859312896824,0.7845202016435784,0.7035278422437152,-0.8058056699115238,-1.2699419453731162,-1.138112502300843,0.436470624600958,0.8643074597276491,1.062220504905767,0,0,0,0,1,0,0,0,0,0,0,0
2003,OT,Jordan Gross,Utah,CAR,8.0,1.9307683527523105,-0.46126560401444583,-0.9653299284480512,-1.0071428982910713,1.4169618094320378,0.5137631093315934,1.6807641019029556,-0.341131722580469,-2.0656062568589584,-0.8560363097178879,-1.1165164964722252,0.5249946031241751,-1.2246988799892178,-0.5320621078894318,-1.1660108758081111,-1.69656779859591,-0.5219646906713535,0,0,0,0,0,0,1,0,0,0,0,0
2003,OT,Steve Sciullo,Marshall,IND,122.0,0.23262384225522012,0.230632802007218,1.4262532276169377,1.3743394557614477,0.14211009383787734,-0.5670190413964538,-0.6549701133821134,0.30725106464161095,-0.06004528015113588,1.1868222760857212,1.0675367099869033,-1.2494057609234235,0.6755098661345152,0.05803959193220522,-0.530881012841102,-2.6998851861521986,0.8295740369818276,0,0,0,0,0,1,0,0,0,0,0,0
2003,OT,Wade Smith,Memphis,MIA,78.0,0.6406668899191048,-0.46126560401444583,-1.2842076825900497,-0.5086931032568246,1.781205156744655,-0.3508626112508443,2.014440418372251,-0.6247991919901315,0.12227844500412219,-1.9271002741417753,-1.8445342319586013,1.8557948761598742,-0.8175112915341323,0.5524491242151987,-1.82312600326244,-1.750570717472877,-0.5219646906713535,0,0,0,1,0,0,0,0,0,0,0,0
2004,OG,Sean Locklear,North Carolina State,SEA,84.0,0.6356570136975828,-0.46126560401444583,-0.3275744201640542,-0.39792648213810033,0.5063534411504946,0.29760667918598394,-0.3212937969128178,0.30725106464161095,-1.0324384809791718,-0.020083947240707736,-0.02448989324266088,0.08139451211227547,1.0374543892057022,0.9192690997800003,0.3778432526347725,0.5715547942367207,0.5098315338324904,1,0,0,0,0,0,0,0,0,0,0,0
2004,OT,Adrian Jones,Kansas,NYJ,132.0,0.22111871299757055,-0.46126560401444583,-1.2842076825900497,-1.4502093827659583,1.234840135775729,0.29760667918598394,2.014440418372251,0.14515536783609004,-0.9108893308756645,-0.8194633938595113,-0.752507628729037,0.9685946941360748,-0.1841083761595548,1.0628073510879659,-0.9657006882569775,-0.5625065021795946,-0.5098315338324901,0,1,0,0,0,0,0,0,0,0,0,0
