year,pos,player,college,team,pick,pick_score,height_inches,weight,forty,vertical,bench,broad,threecone,shuttle,total_seasons,total_games,rushing.total_plays,rushing.total_atts,rushing.total_yds,rushing.total_rush_yds,rushing.total_rec_yds,rushing.total_tds,rushing.total_rush_tds,rushing.total_rec_tds,rushing.total_recs,rushing.atts_per_game,rushing.yds_per_game,rushing.rush_yds_per_game,rushing.rec_yds_per_game,rushing.tds_per_game,rushing.rush_tds_per_game,rushing.rec_tds_per_game,rushing.recs_per_game,rushing.rush_yds_per_att,rushing.rush_tds_per_att,rushing.rec_yds_per_rec,rushing.rec_tds_per_rec,win_pct,wins,losses,ppg_off,ppg_def,srs,sos,ap_rank_score,conf_ACC,conf_Big 12,conf_Big Ten,conf_CUSA,conf_Ind,conf_MAC,conf_MWC,conf_Other,conf_Pac-10,conf_SEC,conf_Sun Belt,conf_WAC
2000,RB,Boo Williams,South Carolina,,260.0,-0.13270196292690775,0.2647690743694606,0.5391442442542713,-0.28248615192863413,-2.5975038137944803e-15,0.0,2.7848277214480433e-15,-5.946881805002708e-15,0.0,-3.970051096533443,-3.963493566536508,-2.4897813905029147,-2.4378269774291383,-2.5033640805350283,-2.4194395301727667,-1.429596070542985,-2.0542475231310524,-1.99635982949368,-0.9682031654181177,-1.4732950359728034,0.0,0.0,0.0,0.0,-3.261896888988677e-16,0.0,0.0,2.8124339845910147e-16,0.0,0.0,-7.444270822586557e-16,0.0,-3.5035821273458176,-3.1784508044802604,3.061015946967687,-3.43765558120328,0.42769373736196575,-2.0563336013455684,1.6118819281073646,-0.48724184222156913,0,0,0,0,0,0,0,0,0,1,0,0
2000,RB,Chad Morton,USC,NOR,166.0,-0.2978740997605715,-1.4718753543357026,-2.3231999222612263,-0.4670385688654301,0.5689709250956915,-0.3544304174789128,0.6043103904767713,-5.946881805002708e-15,0.0,0.6038281308499969,0.7868589957941772,0.008150056339832791,0.07261470510943902,-0.3056174730935993,-0.15366591887366565,-0.6517173084412665,-0.2634452565186916,-0.15017078265597733,-0.612973781309716,-0.378624846236588,-0.438854701348454,-0.8191788797617132,-0.6440265165218941,-0.8578731495248764,-0.6430809084094831,-0.5269094704640264,-0.6808069400339716,-0.6264885664315686,-0.7508180880680141,-0.3390397535254559,-1.0273971478105473,-0.5164333054328528,-0.7827768316040257,-0.8824096340606871,0.7208198842859391,-0.2949919617222399,0.06056166926080959,-0.45843082608248864,-0.15232856111285295,0.5244005127080407,0,0,0,0,0,0,0,0,1,0,0,0
2000,RB,Curtis Keaton,James Madison,CIN,97.0,0.35686938327906936,-0.3141124018655938,-0.03332458904882819,-1.2975244450810284,2.5795848202032055,0.9244785441994712,2.563958685571214,-1.565003047981963,-2.838106593778712,-1.6831114828417229,-2.1046599551897183,-2.093712980913434,-2.0105177548693804,-2.1824787789787083,-2.0548945126638714,-1.429596070542985,-1.8393512511375694,-1.7655861986389672,-0.9682031654181177,-1.4732950359728034,-1.8188838360696844,-2.1554463439950626,-1.8990269883049775,-1.5788801417417668,-1.7501742937950775,-1.6287153373750627,-0.9823845185052203,-1.67281663710616,-1.1349693581699372,-1.0944906115398167,-7.444270822586557e-16,0.0,0.0,0.0,0.0,-5.2914616250232145e-16,-6.211024382234731e-16,0.0,0.0,0.6323567275456616,0,0,0,0,0,0,0,1,0,0,0,0
2000,RB,Dante' Hall,Texas A&M,KAN,153.0,-0.17325177086376797,-1.4718753543357026,-1.6791724847952394,-1.0206958196758262,1.3001032505893328,-0.3544304174789128,0.9962400494956599,-2.904121782033293,-3.7881056697116984,0.6038281308499969,0.4770533939030455,-0.0413584948588523,0.09689363820942526,-0.058599332539105486,0.12335220086700502,-0.6395629527834272,-0.47834152851217493,-0.30401986989245255,-0.9682031654181177,-0.8395386103360472,-0.243179566223713,-0.41415590539016855,-0.21656603157313645,-0.7955186204014679,-0.7366590165659576,-0.5582850528155507,-0.9823845185052203,-1.0247848087569027,0.03147499786967387,-0.6010156501969524,1.102066264355118,-1.014179182206309,0.12597213717373307,-0.11706257725416255,-0.21525854078676016,-0.6673454711394247,-0.6212550286413369,0.08988128037881628,0.14304914636693994,0.8416212335729143,0,1,0,0,0,0,0,0,0,0,0,0
2000,RB,Doug Chapman,Marshall,MIN,88.0,0.4478311051294924,-0.3141124018655938,0.03823401511405925,0.086618681944966,1.4828863319627432,-0.8659940021502663,1.9760641970428814,-1.431091174576833,-0.5062906801250255,-0.539641675995863,-0.03928927591550721,0.5932511159606566,0.5630491537291611,0.45052808898961005,0.29750365725120514,0.7217248808945803,1.1691965567711973,1.0806219152358245,0.8079437551238905,0.45678135119368174,0.6529627072129022,0.5173904293924027,0.3184252657883769,0.8349516553922472,1.2394260626915274,1.1204737376349665,0.8429534564523385,0.5604126660926563,-0.728716110315401,0.7823198803771977,0.5777958079602823,0.3973389758079699,1.9380284641377665,1.7963050647621488,-2.0874153909321587,0.6880213031391283,-2.159713218779514,0.17775974439405914,-2.9906398048050447,1.3597373839386055,0,0,0,0,0,1,0,0,0,0,0,0
2000,RB,Frank Moreau,Louisville,KAN,115.0,0.1827188974493377,1.4225320268395696,1.1831716817202584,0.17889489041337217,0.5689709250956915,0.9244785441994712,-0.17954892756100585,-5.946881805002708e-15,0.0,1.7472979376958566,1.0966645976853089,-0.0008514984235644977,-0.01478945405051145,-0.14596909286384607,-0.07426007347568839,-0.30835676110730487,-0.12018107518970271,0.08060284819873549,-0.9682031654181177,0.08228891786287117,-0.6682257185235749,-0.8043215450156687,-0.7043953722529985,-0.6032445641038923,-0.6209216608998028,-0.43604834524604014,-0.9823845185052203,-0.2769632925542347,-0.2430357555393364,0.1318813990361305,-0.9869600679498998,-1.014179182206309,-0.3311231525108884,-0.4997361056574248,0.2527806717495895,0.881645128036064,1.3193001884647726,-0.4906116720599015,-0.7591954873895185,-0.48724184222156913,0,0,0,1,0,0,0,0,0,0,0,0
2000,RB,J.R. Redmond,Arizona State,NWE,76.0,0.575348299645201,0.2647690743694606,0.1097926192769467,-0.6515909858022261,-0.7105106445181812,0.0,0.6043103904767713,-5.946881805002708e-15,0.0,0.6038281308499969,0.37378485993933497,0.5392417873802728,0.5339144340091776,0.5942910582512286,0.48879955752815035,0.6275286245463253,0.5245077407907472,0.46522556628992356,0.4527143710154889,0.2839386896563846,0.2853175180724512,0.3398032847612206,0.22086199849859184,0.5094382875382187,0.2784830909636902,0.21833531415218468,0.3388124919402508,0.16678020895455647,-0.1593712145904724,0.020339150094857653,0.8004070730142471,0.22610562549148377,-0.7827768316040257,-0.8824096340606871,0.7208198842859391,-1.0694872613099842,0.5325886139622956,-1.001792033162653,-0.18992208751937203,0.5244005127080407,0,0,0,0,0,0,0,0,1,0,0,0
2000,RB,Jamal Lewis,Tennessee,BAL,5.0,2.0838400256681346,0.8436505506045151,1.8271991191862453,0.27117109888177016,-2.5975038137944803e-15,0.9244785441994712,2.7848277214480433e-15,-5.946881805002708e-15,0.0,-0.539641675995863,-1.1752431495163231,-0.1223724877294279,-0.07305889349047842,0.00017668804299272306,-0.0038776196002085488,0.013733663825438011,-0.5499736191766693,-0.6886425879836406,0.4527143710154889,-0.3498177359803718,1.0384606257025601,1.1861781588374052,1.0958597866978335,0.7003447974855271,0.04530408122130331,-0.19212038618720342,1.0728108310766238,0.15672776717280396,0.17368063105784248,-1.0444557175738136,1.253480377755762,0.9257534657312642,0.5776258162668704,0.2656109511490997,-0.6832977533231098,-0.02689743494186669,-1.163211891076377,1.473657657407572,1.2413171678145336,1.4168672639646787,0,0,0,0,0,0,0,0,0,1,0,0
2000,RB,Kevin McDougal,Colorado State,,260.0,-0.13270196292690775,0.2647690743694606,-0.6057934223519278,0.7325521412237682,-0.8932937258915916,0.0,-1.9432323931460045,0.17585130628476298,-1.1971990989853778,0.6038281308499969,0.2705163259756244,-0.2438934770352913,-0.1507514794104344,-0.034771216086903506,0.19553933304698434,-0.7914923985064192,-0.12018107518970271,0.003678304580497887,-0.612973781309716,-0.6666959487987499,-0.3848129811575411,-0.2644862594788068,-0.015561315009996747,-0.9153009168165418,-0.3050331626843319,-0.17810482568780972,-0.644029186561868,-0.8078162808616967,1.1211352580059568,0.19887421656228502,-0.7075766070945174,-0.3386669208709041,0.12597213717373307,-0.11706257725416255,-0.21525854078676016,-0.32478024247561454,-0.07929816620629755,-0.30619067011241985,-0.5819688629016426,0.5244005127080407,0,0,0,0,0,0,1,0,0,0,0,0
2000,RB,Michael Wiley,Ohio State,DAL,144.0,-0.08863998495437832,0.2647690743694606,-1.5360552764694646,-0.4670385688654301,-2.5975038137944803e-15,0.0,2.7848277214480433e-15,-5.946881805002708e-15,0.0,0.6038281308499969,0.8901275297578877,0.053157830156819234,0.03376841214946103,0.340918753309481,0.24336330811622064,0.48471494556671296,0.23797937813276948,0.08060284819873549,0.8079437551238905,0.13990313837530358,-0.5278128203489202,-0.25078572311551495,-0.32384767883099624,0.1577208085944603,-0.23947198599599506,-0.3632891463287355,0.49342065273706137,-0.16366707940305392,0.6080468754839484,0.06675425873049534,0.863955360217008,0.6746014711322035,-0.7827768316040257,-0.8824096340606871,0.7208198842859391,-1.0694872613099842,0.1829390252945281,-0.08463792280638471,1.308448464969032,0.5244005127080407,0,0,1,0,0,0,0,0,0,0,0,0
