year,pos,player,college,team,pick,pick_score,height_inches,weight,forty,vertical,bench,broad,threecone,shuttle,total_seasons,total_games,receiving.total_rec,receiving.total_plays,receiving.total_yds,receiving.total_rec_yds,receiving.total_tds,receiving.total_rec_tds,receiving.recs_per_game,receiving.yds_per_game,receiving.tds_per_game,receiving.yds_per_rec,receiving.tds_per_rec,win_pct,wins,losses,ppg_off,ppg_def,srs,sos,ap_rank_score,conf_ACC,conf_Big 12,conf_Big Ten,conf_CUSA,conf_Ind,conf_MAC,conf_MWC,conf_Other,conf_Pac-10,conf_SEC,conf_Sun Belt,conf_WAC
2000,WR,Bashir Yamini,Iowa,,260.0,-0.06819245218332234,1.0368597773468866,-0.7245753660938057,0.18578655553884685,-0.7679627862190366,0.0,1.9573604052777702,0.7521833507447062,-0.29695990542719075,-1.295696636315339,-1.3273365553763696,-1.2844070571477866,-1.2973202931419896,-1.5638141890997814,-1.5401910655716295,-1.7310483334929903,-1.6937632870851371,-0.8769146541067395,-1.344888348512951,-1.8708233036131223,-1.4359990911198897,-2.43005856980935,-2.7452171288722917,-2.5799261479816167,2.337986593207413,-2.363155023230333,1.1637015856128634,-1.5044895561641414,1.3176464578871578,-0.48724184222156913,0,0,1,0,0,0,0,0,0,0,0,0
2000,WR,Charles Lee,UCF,GNB,242.0,-1.2794361960277616,0.15017415124874198,0.009546922163572365,0.4918292123592448,0.10770573652877583,0.0,0.9533604129910234,2.0025991104062486,0.2863042852912825,-0.33750181844142074,-0.4213643344022625,0.2941682924459885,0.12166367244285715,0.09864425805129243,0.18395050410237332,-0.31284892912677353,-0.251654241257744,0.8159794722389406,0.5140467876558403,-0.14031273864883895,-0.45810585400344245,-0.7398202177348879,-1.3706516403509743,-1.5018066768174625,1.053468565015399,-0.8879585133258189,0.7672819507995673,-1.5044895561641414,-1.2229616868371653,-0.48724184222156913,0,0,0,0,1,0,0,0,0,0,0,0
2000,WR,Chris Cole,Texas A&M,DEN,70.0,0.6426579117568808,-0.29316866180033035,-0.7245753660938057,-1.4464409475033118,0.8082405547270257,0.0,0.9533604129910234,-1.2127557001520042,-1.0468710077795094,-0.33750181844142074,-0.17428100140932418,-0.8634536305894466,-0.8783821699693205,-0.7911668346143299,-0.7804367627733632,-0.9674025003727197,-0.9172430316396177,-1.0447287777423133,-0.9291200480494379,-1.0632517066297902,0.4917789056678203,-0.5509112254442127,0.15496500075510294,-0.06431404859859015,-0.23104946317661473,-0.7053151359090695,-0.6964213162033711,0.16556535582919657,0.22359217973762904,0.8416212335729143,0,1,0,0,0,0,0,0,0,0,0,0
2000,WR,Chris Coleman,North Carolina State,,260.0,-0.06819245218332234,-0.29316866180033035,0.6101924307377908,1.0019003070599262,-0.943096490768599,0.0,-2.0586395638692174,-1.0341248773432108,-0.9635475519625867,0.6206929994324976,0.31988566457655243,-0.3071937454944972,-0.4189016477799416,-0.2623467190443693,-0.1861303883781576,-0.9674025003727197,-0.9172430316396177,-0.6477179703344486,-0.6146460727676986,-1.2082849730267968,0.32067208358780924,-1.2513878723915104,-0.6858864153000619,-0.7830603627080264,0.6252958889513944,-1.5763835512812587,0.2031463166421848,-1.0680240358357587,0.0512590476186103,0.5244005127080407,1,0,0,0,0,0,0,0,0,0,0,0
2000,WR,Danny Farmer,UCLA,PIT,103.0,0.2978740997605715,1.0368597773468866,1.0106227697872698,0.6958576502395192,0.0,0.0,0.0,-5.288534730401526e-15,7.400609531142914e-15,0.6206929994324976,0.4846078865718446,0.2490661396004521,0.1081495394372872,0.9525673588419075,1.0231633514626362,0.2326123802448483,0.30300308406048415,-0.13004959836599816,0.580168975199435,-0.10570252734955331,1.797262250499686,0.07190336252443924,-1.3706516403509743,-1.5018066768174625,1.053468565015399,-1.4920866078581438,0.6758004966118839,-1.1047790270213067,0.3724253392949636,0.5244005127080407,0,0,0,0,0,0,0,0,1,0,0,0
2000,WR,Dennis Northcutt,Arizona,CLE,32.0,1.1802061952812037,-1.179854287898475,-1.792389603559083,-0.8343556338625069,0.8082405547270257,0.0,0.5517604160763245,-0.02188354809339102,-1.46348828686413,0.6206929994324976,0.6493301085671368,1.1210410946141565,1.3109073769330144,1.4887761786214284,1.2038499048501894,0.9962582133651188,0.8576604093787122,0.6759873748343959,0.9778821724107606,0.5037381498769984,-0.10538744688516702,-0.146451176216703,-0.6858864153000619,-0.7830603627080264,0.6252958889513944,-0.45242430563972397,0.9807386772374962,-0.8072933171132775,-0.13935184093727424,0.5244005127080407,0,0,0,0,0,0,0,0,1,0,0,0
2000,WR,Dez White,Georgia Tech,CHI,69.0,0.6541562381384199,0.15017415124874198,1.0773611596288497,1.103914526000059,0.8082405547270257,0.0,0.752560414533674,-0.31960158610804296,-1.0468710077795094,-0.33750181844142074,-0.5037254453999086,-0.7882833758468858,-0.7162125739024809,-0.2718464815995183,-0.26885435257968804,-0.31284892912677353,-0.251654241257744,-0.7150938920295788,0.07579944805582088,-0.07974486887508908,2.4031171439550967,0.956796392271931,0.15496500075510294,-0.06431404859859015,-0.23104946317661473,0.9665742419827134,0.9502448591749351,0.3091395401477435,0.333258718358823,0.9388143168769032,1,0,0,0,0,0,0,0,0,0,0,0
2000,WR,Gari Scott,Michigan State,PHI,99.0,0.33707617177044547,-0.29316866180033035,-0.5243601965690663,0.7978718691796518,-0.5928290816694741,0.0,-0.25143957775307296,-5.288534730401526e-15,7.400609531142914e-15,0.6206929994324976,0.5669689975694907,-0.12678513411235148,-0.256732051713102,-0.07446252628697811,0.016325629272956364,0.12352011837052392,0.19207161899683853,-0.5943968107993776,-0.5687541259368462,-0.25106541480655303,0.3148416462692005,0.4358735951696241,0.9907813783907752,0.654432265510846,-1.0873948153046238,-0.002840607383110193,-0.5287053168592847,0.8432355058127379,1.262813188576561,1.5475149163347155,0,0,1,0,0,0,0,0,0,0,0,0
2000,WR,JaJuan Dawson,Tulane,CLE,79.0,0.5426648281744121,0.15017415124874198,-0.1906682473611671,0.3898149934191122,-0.4176953771199116,0.0,-0.6530395746677717,-0.02188354809339102,-0.46360681706103607,0.6206929994324976,0.2375245535789063,1.4668242664299358,1.1757660468773148,1.030676517628688,1.1439838781253977,1.5417195227367406,1.6341806648242316,1.505767035914942,0.9220324137909587,1.3757833465588942,-0.8274035576860679,0.3092038915773643,-1.8288401365247466,-1.8611798338721806,1.4816412410794035,-0.8598595321847806,1.8955532191143323,-1.7307624706501714,-0.5989068599213244,-0.48724184222156913,0,0,0,1,0,0,0,0,0,0,0,0
2000,WR,James Williams,Marshall,SEA,175.0,-0.3868263636109358,-0.7365114748494026,-1.4586976543511838,0.7978718691796518,0.2828394410783383,0.0,0.5517604160763245,1.5262502495828034,-0.46360681706103607,-1.295696636315339,-1.0802532223834314,-1.0438622419715922,-1.0675800320473001,-0.7373348468018189,-0.6628816557501357,0.014427856496199555,0.08114015393319289,-0.6365900761706077,0.025463932788259282,1.0281279948150455,2.3078092145376568,2.854284440449811,1.83163279444594,1.7325517366750003,-1.943740167432633,0.5731885060081766,-2.038149310956065,0.24711549252213114,-2.8235709290941124,1.3597373839386055,0,0,0,0,0,1,0,0,0,0,0,0
